State,year,Served,InCare_Sep30,Entered,Exited,Waiting_Adoption,parental_rights_terminated,adopted
New Hampshire,FY 2009,1446,906.0000000000013,487.9999999999993,539.9999999999999,273.99999999999966,73,135.0000000000005
New Hampshire,FY 2010,1368,839.0000000000003,522.0000000000003,528.9999999999993,226.99999999999991,63.999999999999936,172.99999999999986
New Hampshire,FY 2011,1216,742,494.99999999999983,473.9999999999997,167.00000000000003,25.00000000000002,143.99999999999974
New Hampshire,FY 2012,1166,767.9999999999993,535.0000000000001,397.999999999999,181.99999999999994,21.000000000000014,96.00000000000007
New Hampshire,FY 2013,1282,850,599.9999999999997,431.9999999999994,188.9999999999999,21.00000000000001,110.00000000000021
New Hampshire,FY 2014,1464.999999999999,890.000000000001,524.0000000000002,580,166.99999999999983,39.999999999999964,120.00000000000024
New Hampshire,FY 2015,1597,1032.0000000000002,713.000000000001,565.0000000000002,176.99999999999994,76.00000000000011,118.00000000000031
New Hampshire,FY 2016,1810,1205.9999999999993,846.0000000000009,603.999999999999,168.00000000000017,78.00000000000006,87.00000000000021
New Hampshire,FY 2017,2026,1460.9999999999989,924.9999999999992,565.0000000000005,208.00000000000009,108.99999999999984,106.99999999999986
New Hampshire,FY 2018,2255,1530.9999999999998,867.9999999999998,723.9999999999993,128.99999999999994,24.00000000000003,203.99999999999937
New Jersey,FY 2009,13170.000000000022,7803.000000000032,4816.000000000014,5443.000000000011,2693.9999999999914,934.9999999999986,1347.9999999999968
New Jersey,FY 2010,12080.000000000031,6891.999999999982,4653.000000000008,5238.9999999999845,2463.999999999998,969.0000000000014,1274.9999999999973
New Jersey,FY 2011,11214.999999999995,6440.00000000001,4534.999999999995,4811.000000000021,2294,688.9999999999997,1089.0000000000068
New Jersey,FY 2012,11582.000000000015,6848.000000000003,5253.000000000006,4766.999999999988,2226.999999999999,736.0000000000007,1023.0000000000011
New Jersey,FY 2013,12042.999999999989,6945.99999999997,5361.0000000000255,5136.0000000000255,2442.9999999999995,762.0000000000013,927.0000000000024
New Jersey,FY 2014,11847.000000000016,7138.000000000029,5055.999999999976,4741.999999999997,2592.999999999999,869.0000000000045,1024.0000000000007
New Jersey,FY 2015,11617.000000000042,6873.999999999994,4594.000000000007,4759.999999999989,2698.0000000000055,958.9999999999975,1071.999999999998
New Jersey,FY 2016,11019,6526.999999999984,4270.999999999997,4505.999999999984,2566.9999999999977,990.0000000000003,1184.9999999999939
New Jersey,FY 2017,10131.00000000003,5946.000000000001,3725.9999999999964,4195.99999999999,2478.9999999999923,963.0000000000013,1106.0000000000048
New Jersey,FY 2018,9382,5526.000000000002,3540.000000000014,3862.9999999999923,2267.00000000001,997.9999999999989,1054.0000000000025
New Mexico,FY 2009,4174,1991.9999999999973,1997.0000000000027,2182.000000000001,869.9999999999999,538.9999999999993,436.99999999999756
New Mexico,FY 2010,3716,1869.0000000000027,1766.0000000000016,1846.9999999999995,777,463.9999999999993,420.0000000000005
New Mexico,FY 2011,3637,1859.0000000000061,1778.9999999999982,1778.000000000002,786.0000000000013,441.00000000000006,351.0000000000006
New Mexico,FY 2012,3558,1913.9999999999961,1722.0000000000018,1643.9999999999977,833.9999999999994,410.9999999999996,345.00000000000097
