created_date,tweet_text,lang
2019-12-03 16:05:50,@pjervis @ChelseaKrost @suziday123 @The_ChrisBryant @magee333 @ConnieJack @Kedz @WVFRM @DONUTdailynews @itsallglamr… https://t.co/bStf7jYg4T,en
2019-11-30 13:27:13,RT @CHSNC: A sobering fact: 29% of children in care will spend at least 3 years waiting for adoption. Children are looking for forever fami…,en
2019-12-05 23:49:17,"RT @DTFA: ""Knowing what they've been through and how they are is just amazing. We are so blessed to have them."" Barbara and her husband, Da…",en
2019-12-05 10:07:01,A DIY Homemade Obstacle Course https://t.co/LTb8XGsUns #adoption #birthdays #familyactivities #fostercare #largefamily #singleparenting,en
2019-12-01 06:29:59,RT @colbypearce: Trauma-Informed: Adopting a Balanced View https://t.co/NXYhqEFQkw via @colbypearce #adoption #fostercare #kinshipcare #soc…,en
2019-12-02 16:15:34,RT @Convos4Care: @wayne24536203 @DrDeeMichell @IDickson258 @ohigginsaoife @exchangewales @LearnWorkCymru We're interested in everyone's per…,en
2019-12-06 19:05:13,"19-year-old Lexandra Lutz spent several years in foster care, has traveled around the country, shaken important han… https://t.co/J8EfF5Oe86",en
2019-12-07 00:19:36,"Sometimes the grandparents need to have custody.
https://t.co/osaESMTdhK #flinchfreefiction  #Christfic #99cents… https://t.co/wp3bA0H53h",en
2019-12-05 20:02:03,RT @AdoptUSKids: The members of the DeJong family are thankful Tristan joined their family when the teen was adopted from foster care. “We`…,en
2019-12-01 22:18:32,"RT @RebeccaYarros: Bidding closes at midnight, EST!
Help us give each child entering foster care a duffel bag &amp; clothing to end the cycle o…",en
2019-12-02 18:43:52,"RT @DTFA: This holiday season, share your love for adoption with everyone on your list. A portion of your purchase from the Foundation's st…",en
2019-12-07 03:12:37,"@Andy Hey Andy, I am the mother of 12 some adopted, fostercare, and relative resource. I am also a social worker, A… https://t.co/Y5R8nyN4Hu",en
2019-12-03 16:25:10,"RT @DTFA: If 150 ppl make a gift to the Foundation before midnight on #GivingTuesday, City National Bank has generously pledged an addition…",en
2019-12-07 00:36:28,"RT @ACSNYC: Congratulations to Michael and his forever family! 🥰 For those interested in becoming a foster parent in NYC, contact the WISH…",en
2019-11-29 19:31:20,"Their Forever Home! #Adoption #Fostercare #notadisability2 #Monsterfunder 

Please #support today to #Gofundme 

https://t.co/LV9TFQoj6q",en
2019-12-04 18:33:01,"RT @DTFA: Every child deserves a safe, loving family, rooting for and supporting them through life. We believe unadoptable is unacceptable.…",en
2019-12-02 22:40:36,"RT @MAREinMichigan: Meet &amp; Greets are designed to get adoptive parents and youth to interact, but if you get the jitters before attending o…",en
2019-12-05 20:06:22,RT @AdoptUSKids: “Family is priceless…We weren’t put on this planet to be alone…One thing that makes adoption special is that you get to ch…,en
2019-12-06 10:49:34,"Adoption is one of the most noble things one can ever do.  To provide stability, structure and comfort as a forever… https://t.co/wv4RNBsq6M",en
2019-12-06 18:45:27,"RT @DTFA: ""Knowing what they've been through and how they are is just amazing. We are so blessed to have them."" Barbara and her husband, Da…",en
2019-12-06 21:01:26,"RT @CompassionVann: I'm not crying... you're crying... #Adopt #Adoption #Foster #FosterCare
https://t.co/OcYfTlpbOA",en
2019-11-29 23:49:31,@lilkahlilah @aiidaannn @BricksByThomas @Teqhzi @DislexicPotato @FenixWild @PhiaStones @IanMayer19 @imacelebrity… https://t.co/QNLkAoiLLE,en
2019-12-06 23:50:04,"Sonya Middleton always wanted more kids. Now she's got them, adopting four siblings in Monmouth County's biggest sa… https://t.co/60adZ3oPNM",en
2019-12-04 04:40:39,"RT @dmills3710: 🚨 Why Is #CPS #FamilyCourt Taking These Children Out of Their Family Homes?? This Question Must Be Addressed 🚨

🦅American S…",en
2019-12-03 15:58:27,🦃🎄The Holidays Are Here!🎅🤶 #OurBayAreaKids deserve a loving home where they can spend the season with people who ca… https://t.co/FE79LezyAs,en
2019-11-29 08:01:24,"Lovely little Lolly is starting to settle into #fostercare now 💖
She won’t be up for #Adoption for a while.
Lolly l… https://t.co/g59V6dO0CQ",en
2019-12-04 18:30:40,"Every child deserves a safe, loving family, rooting for and supporting them through life. We believe unadoptable is… https://t.co/Tj6N9i0szD",en
2019-12-05 16:15:00,RT @VanillaSkyTess: I absolutely hate the foster care to success stories or adoption to success stories. I'm not successful because of fost…,en
2019-12-04 21:17:30,"RT @JeanetteYoffe: NOW on Audible and Amazon Check out my play ""What's Your Name, Who's Your Daddy?""I wrote 20 years ago about growing up i…",en
2019-12-03 14:23:39,#givingtuesday2019 help us carry ⁦@empwrd2connect⁩ across the globe! Let’s do this fam #connection #attachment… https://t.co/9JLpaQqR9L,en
2019-12-05 17:03:58,#mentalhealth  #depression  #anxiety  #ptsd #spirituality  #entrepreneur  #workingmom #specialneeds  #adoption… https://t.co/j05CvwtNi3,en
2019-12-06 15:59:47,RT @DrNinaRadcliff: 'Not a dry eye': Boy invites entire kindergarten class to witness his adoption hearing | FOX 29 News Philadelphia #adop…,en
2019-12-05 07:31:14,RT @AdoptUSKids: It's alright if you're not a prefect parent. Thousands of teens in foster care will love you just the same. #fostercare #a…,en
2019-12-06 07:37:48,"RT @dmills3710: Standard Procedure For Texas DFPS To Begin Termination of #ParentalRights (TPR) At Beginning of #FosterCare Cases▫️

Texas…",en
2019-12-05 00:55:55,Thank you Heart Gallery of Tampa for inviting me to be your guest this evening and the opportunity to see your amaz… https://t.co/cq32UEgnuy,en
2019-12-06 03:11:13,"RT @dmills3710: Standard Procedure For Texas DFPS To Begin Termination of #ParentalRights (TPR) At Beginning of #FosterCare Cases▫️

Texas…",en
2019-12-05 23:15:42,"RT @MuslimAdopterUK: England adoption rates fall as numbers of children in care rise

#SocialCare 
#childProtection
#children 
#adoption 
#…",en
2019-12-04 19:35:06,"In this brand new podcast series from Confessions of an Adoptive Parent, they'll walk you through key how-to’s when… https://t.co/1UbE7Q6UdD",en
2019-12-02 03:03:14,That’s some good fast drying superglue #angel @candacecbure @realtimrozon @hallmarkchannel Great movie thank you !… https://t.co/NihNV1ocnV,en
2019-12-06 17:45:16,"“If I would have caved in to the doubt, I wouldn’t have two beautiful daughters, I wouldn't have two beautiful gran… https://t.co/3nmJdoBFT8",en
2019-12-02 14:36:24,"RT @BGPuk: Lovely little Lolly is starting to settle into #fostercare now 💖
She won’t be up for #Adoption for a while.
Lolly loves mud and…",en
2019-12-02 02:03:36,RT @AdoptUSKids: This recorded podcast from Creating a Family can help parents know what to expect and how they can help their child with t…,en
2019-12-06 02:18:19,This is the most beautiful thing I’ve ever seen. #FosterCare #kids #change  https://t.co/JEMzqpsj83,en
2019-12-02 22:06:38,RT @AdoptUSKids: Laura and her husband never dreamed they start their family as first-time adoptive parents.  https://t.co/WCL1J83vyA Story…,en
2019-11-29 01:05:09,"While adoption is a wonderful way to build a #family, and celebrate the diversity of #Jewish families, it poses som… https://t.co/kNDbCBxZzE",en
2019-12-03 15:39:12,@Save_the_Poors @MNCatMama @iamadopted @MAKREACTS Exactly. The FosterCare and Adoption Industry is big $$$. It depe… https://t.co/i94B1dFYVX,en
2019-12-02 15:53:09,Great piece by @MegStEsprit for the @washingtonpost on open adoption in families who adopt via foster care. Adoptiv… https://t.co/DUn41kQ03R,en
2019-12-06 01:21:47,RT @ProjectMMH: Be sure to watch the VIDEO! 💙 👉  Young boy invites entire kindergarten class to his adoption hearing https://t.co/m62h8DcNL…,en
2019-12-01 23:25:03,"19-year-old Lexandra Lutz spent several years in foster care, has traveled around the country, shaken important han… https://t.co/N870y268Wu",en
2019-12-04 03:26:05,Spent hours braiding and beading tonight. She was SO happy to hear her beads click together as she walked around wh… https://t.co/6rEOuLktFU,en
2019-12-07 15:28:41,@DrPaulChitwood @KentuckyBaptist @SunriseKidsKY @GovMattBevin @DerwinWebb So happy for you guys!!! Grateful for you… https://t.co/UtXUDHOxhX,en
2019-12-04 21:45:09,RT @VanillaSkyTess: I absolutely hate the foster care to success stories or adoption to success stories. I'm not successful because of fost…,en
2019-12-05 03:27:28,"RT @AdoptUSKids: More than 120,000 children and youth in foster care need permanent families. Learn more about foster adoption today.  http…",en
2019-12-05 05:47:11,"RT @DTFA: Every child deserves a safe, loving family, rooting for and supporting them through life. We believe unadoptable is unacceptable.…",en
2019-12-01 21:48:16,"RT @KimbellB: And @kwiens62 did it again. Adults, when we give up need to be in control and ""win"" - everyone wins. Using a strength based m…",en
2019-12-04 19:57:51,"We want to tell your foster care adoption story! If you adopted or were adopted from #fostercare, let us know how t… https://t.co/b3nT8sjr5u",en
2019-11-30 04:06:46,A Plate Full of https://t.co/OYukUM062w #adoption #artproject #endofschoolyear #familyproject #fostercare #largefamily #love #teachergifts,en
